CRISIS ID,COUNTRY,ISO3,Improvement_Rate_Raw,Improvement_Rate_Normalized,INFORM_Start,INFORM_End,Duration_Months,Effectiveness_Score_100
CAF001,CAR,CAF,0.0,0.5,4.0,4.0,63,53.98271104272473
BOL002,Bolivia,BOL,0.0,0.5,2.9,2.9,4,59.90516629154433
BGD002,Bangladesh,BGD,0.0,0.5,3.3,3.3,32,53.924393031586405
YEM001,Yemen,YEM,0.0,0.5,4.6,4.6,63,53.11749822196116
NGA009,Nigeria,NGA,0.0,0.5,4.1,4.1,1,50.85195496025714
JAM002,Jamaica,JAM,0.0,0.5,2.5,2.5,1,53.55730513980353
LSO002,Lesotho,LSO,0.0,0.6666666666666666,2.1,2.1,25,61.43559539050024
LTU002,Lithuania,LTU,0.0,0.5,1.3,1.3,18,59.90516629154433
LBN004,Lebanon,LBN,0.0,0.5,3.5,3.5,43,54.47255639350583
LAO003,Laos,LAO,0.0,0.5,1.5,1.5,3,59.90516629154433
BGR002,Bulgaria,BGR,0.0,0.5,1.5,1.5,18,54.24469713902867
TLS003,Timor Leste,TLS,0.0,0.5,2.0,2.0,18,59.90516629154433
VUT002,Vanuatu,VUT,0.0,0.6666666666666666,2.0,2.0,7,73.13202312682236
NGA001,Nigeria,NGA,0.0,0.5,4.2,4.2,60,52.3857473898359
MRT004,Mauritania,MRT,0.0,0.5,2.9,2.9,5,59.90516629154433
MNG001,Mongolia,MNG,0.0,0.5,2.2,2.2,1,59.90516629154433
MOZ004,Mozambique,MOZ,0.0,0.6666666666666666,3.5,3.5,5,73.13202312682236
NPL004,Nepal,NPL,0.0,0.5,2.5,2.5,2,59.90516629154433
NER006,Niger,NER,0.0,0.5,3.6,3.6,16,56.50040286035984
NER001,Niger,NER,0.0,0.5,3.7,3.7,46,52.8680955073574
ECU001,Ecuador,ECU,0.0,0.5,3.5,3.5,10,56.03197189004331
FJI002,Fiji,FJI,0.0,0.6666666666666666,1.4,1.4,3,73.13202312682236
IND006,India,IND,0.0,0.5,2.2,2.2,4,59.90516629154433
CUB002,Cuba,CUB,0.0,0.5,3.0,3.0,1,56.55799103475363
COD001,DRC,COD,0.0,0.5,4.5,4.5,63,52.80764300050152
COL004,Colombia,COL,0.0,0.5,4.0,4.0,4,59.90516629154433
LKA004,Sri Lanka,LKA,0.0,0.5,1.7,1.7,2,59.90516629154433
DZA004,Algeria,DZA,0.0,0.5,2.6,2.6,40,54.74132830925866
LSO003,Lesotho,LSO,0.0,0.6666666666666666,2.2,2.2,3,72.81751640523161
SDN001,Sudan,SDN,-0.0015873015873015,0.492063492063492,4.6,4.7,63,48.51325430301497
SSD001,South Sudan,SSD,-0.0015873015873015,0.4920634920634921,4.4,4.5,63,51.69132544369888
BFA002,Burkina Faso,BFA,-0.0015873015873015,0.492063492063492,3.9,4.0,63,51.66072302060319
MYS001,Malaysia,MYS,-0.0017543859649122,0.4912280701754386,1.6,1.7,57,45.18896365499365
DOM002,Dominican Republic,DOM,-0.0021739130434782,0.4891304347826087,1.9,2.0,46,50.8986172024316
TZA001,Tanzania,TZA,-0.0022222222222222,0.4888888888888889,2.4,2.5,45,52.22435204127245
HND001,Honduras,HND,-0.0031746031746031,0.4841269841269842,3.2,3.4,63,49.86235228085885
IND001,India,IND,-0.0031746031746031,0.4841269841269841,2.5,2.7,63,49.97942030899022
ETH001,Ethiopia,ETH,-0.0031746031746031,0.4841269841269841,4.0,4.2,63,46.12742995366331
MDG002,Madagascar,MDG,-0.0033333333333333,0.4833333333333333,2.5,2.7,60,50.41827615746176
UGA005,Uganda,UGA,-0.0037037037037037,0.4814814814814814,3.0,3.2,54,54.17983552304461
ZMB002,Zambia,ZMB,-0.0047619047619047,0.4761904761904761,2.8,3.1,63,44.73415573035878
THA003,Thailand,THA,-0.0047619047619047,0.4761904761904761,2.0,2.1,21,53.16418689630533
CMR001,Cameroon,CMR,-0.0047619047619047,0.4761904761904762,3.7,4.0,63,48.48883900809617
ESP002,Spain,ESP,-0.005,0.475,1.2,1.5,60,50.02975281036737
LVA002,Latvia,LVA,-0.0055555555555555,0.4722222222222222,1.2,1.3,18,56.57888944398756
CZE002,Czech Republic,CZE,-0.0055555555555555,0.4722222222222222,1.8,1.9,18,55.05132781631836
ECU002,Ecuador,ECU,-0.0058823529411764,0.4705882352941176,2.4,2.7,51,48.2711845722868
LSO004,Lesotho,LSO,-0.00625,0.46875,2.1,2.2,16,54.44675890136404
PER002,Peru,PER,-0.0063492063492063,0.4682539682539682,2.6,3.0,63,46.538538143140585
GRC002,Greece,GRC,-0.0063492063492063,0.4682539682539682,1.8,2.2,63,42.78574792860288
MOZ001,Mozambique,MOZ,-0.0063492063492063,0.4682539682539682,3.2,3.6,63,49.30795492817465
TUR001,Turkey,TUR,-0.0063492063492063,0.4682539682539682,3.2,3.6,63,47.724895106771
MLI001,Mali,MLI,-0.0063492063492063,0.4682539682539682,3.8,4.2,63,48.76219014876207
