CRISIS ID,COUNTRY,ISO3,INFORM_Start,INFORM_End,Date_Start,Date_End,Duration_Months,N_Observations,Improvement_Rate_Raw,INFORM_Std,Consistency_Raw,Total_Funding,HRP_Original_Requirements,HRP_Revised_Requirements,Funding_Requested,Funding_Per_Month,Cost_Effectiveness_Raw,Improvement_Rate_Normalized,Consistency_Normalized,Cost_Effectiveness_Normalized,Effectiveness_Score_01,Effectiveness_Score_100,Is_Successful
COD001,DRC,COD,4.5,4.5,2020-09-01,2025-12-01,63,63,0.0,0.13089162115068778,0.8842580325977613,146465690372.74,2580627746.0,2580627746.0,146465690372.74,2324852228.13873,0.0,0.5,0.6451238354478591,0.4905166291544329,0.5416404764652443,54.16404764652442,False
COG001,Congo,COG,3.2,2.7,2021-01-01,2025-02-01,49,49,0.01020408163265306,0.4806015929608043,0.6754011374526955,45161881.48,,0.0,45161881.48,921671.0506122449,0.0007429825750379716,0.5510204081632653,0.0,0.5527096845725059,0.38605214099613383,38.605214099613384,False
COG004,Congo,COG,2.0,2.2,2020-10-01,2020-12-01,2,3,-0.10000000000000009,0.11547005383792526,0.8964830535426433,56748315.0,11989124.0,11989124.0,56748315.0,28374157.5,-0.005827169856207932,0.0,0.0,0.0,0.0,0.0,False
COL001,Colombia,COL,4.2,4.0,2020-09-01,2025-09-01,60,60,0.003333333333333336,0.17953958693512737,0.8477884176811425,17848144062.21,408438395.0,493620647.0,17848144062.21,297469067.7035,0.00017084536659634395,0.5166666666666667,0.5310778937289858,0.5048176312366208,0.5186202276993532,51.86202276993532,False
COL004,Colombia,COL,4.0,4.0,2025-08-01,2025-12-01,4,5,0.0,0.0,1.0,1730543638.45,342308343.0,342308343.0,1730543638.45,432635909.6125,0.0,0.5,1.0,0.4905166291544329,0.6481033258308866,64.81033258308867,True
CRI002,Costa Rica,CRI,1.1,2.0,2020-09-01,2025-12-01,63,63,-0.014285714285714284,0.48400424858384195,0.6738525182487055,0.0,,0.0,0.0,0.0,0.0,0.4285714285714286,0.0,0.4905166291544329,0.3123890401166009,31.23890401166009,False
CUB002,Cuba,CUB,3.0,3.0,2025-11-01,2025-12-01,1,3,0.0,0.05773502691896263,0.9454163609508736,22500003.15,,0.0,22500003.15,22500003.15,0.0,0.5,0.8326412371604651,0.4905166291544329,0.5978956969790261,59.789569697902614,True
CZE002,Czech Republic,CZE,1.8,1.9,2023-11-01,2025-05-01,18,19,-0.005555555555555548,0.049559462778335145,0.95278070034532,0.0,,0.0,0.0,0.0,0.0,0.47222222222222227,0.8545302984609239,0.4905166291544329,0.5905735264802748,59.05735264802748,True
DJI001,Djibouti,DJI,2.9,2.7,2020-09-01,2025-12-01,63,63,0.0031746031746031703,0.13459464850447048,0.8813720400656904,178363956.0,29983416.0,29983416.0,178363956.0,2831173.904761905,0.00021368874097569664,0.5158730158730158,0.6362751007693813,0.5084039338587735,0.550499824939077,55.0499824939077,False
DOM002,Dominican Republic,DOM,1.9,2.0,2022-02-01,2025-12-01,46,46,-0.0021739130434782626,0.15535528861446304,0.8655346193976661,0.0,,0.0,0.0,0.0,0.0,0.4891304347826087,0.5877160238052329,0.4905166291544329,0.5189833503637608,51.898335036376075,False
DZA004,Algeria,DZA,2.6,2.6,2022-08-01,2025-12-01,40,40,0.0,0.09195177108206343,0.9157913622952922,36001440.0,,0.0,36001440.0,900036.0,0.0,0.5,0.7418081008857167,0.4905166291544329,0.5706457560966015,57.06457560966015,True
ECU001,Ecuador,ECU,3.5,3.5,2025-02-01,2025-12-01,10,11,0.0,0.06741998624632427,0.9368383699808615,0.0,,0.0,0.0,0.0,0.0,0.5,0.8063402799249488,0.4905166291544329,0.5900054098083712,59.00054098083712,True
ECU002,Ecuador,ECU,2.4,2.7,2020-09-01,2024-12-01,51,51,-0.005882352941176476,0.16471008398002202,0.8585827612849558,185700000.0,46425000.0,46425000.0,185700000.0,3641176.470588235,-0.00038935821641165343,0.47058823529411764,0.5375381504318185,0.4579245093062192,0.4881404646378482,48.81404646378482,False
EGY002,Egypt,EGY,2.2,1.7,2020-09-01,2023-04-01,31,32,0.016129032258064523,0.44049092847017424,0.6942077733610006,23200412.0,,0.0,23200412.0,748400.3870967742,0.0011924734798361373,0.7741935483870968,0.0,0.7402529922187877,0.5351473726373059,53.514737263730595,False
EGY004,Egypt,EGY,1.9,2.2,2023-07-01,2025-12-01,29,30,-0.010344827586206905,0.11551981469084378,0.8964430634315007,106815389.28,,0.0,106815389.28,3683289.2855172413,-0.0006842126254356323,0.4482758620689655,0.682484328830516,0.43324304675677217,0.515531839034992,51.5531839034992,False
ERI001,Eritrea,ERI,3.8,3.0,2020-09-01,2025-12-01,63,63,0.012698412698412695,0.2943224491014216,0.7726050032542093,169117929.76,,0.0,169117929.76,2684411.5834920635,0.0008578285686454387,0.5634920634920634,0.30278475392555093,0.5623231310851752,0.485046084140732,48.5046084140732,False
ESP002,Spain,ESP,1.2,1.5,2020-12-01,2025-12-01,60,60,-0.005000000000000001,0.15274327636454663,0.8674958427463058,0.0,,0.0,0.0,0.0,0.0,0.475,0.593729325941152,0.4905166291544329,0.5137221236132321,51.37221236132321,False
EST002,Estonia,EST,1.3,1.2,2023-11-01,2025-05-01,18,19,0.00555555555555556,0.0374634324632678,0.9638893947574443,0.0,,0.0,0.0,0.0,0.0,0.5277777777777778,0.8887531368434994,0.4905166291544329,0.6286181557728252,62.86181557728252,True
ETH001,Ethiopia,ETH,4.0,4.2,2020-09-01,2025-12-01,63,63,-0.0031746031746031776,0.2571556576435068,0.7954464460466766,152042438218.78,3994813508.0,3994813508.0,152042438218.78,2413372035.21873,-0.0001469431792609219,0.48412698412698413,0.3728188460786374,0.47821641432016804,0.4495524287511169,44.955242875111686,False
FJI002,Fiji,FJI,1.4,1.4,2021-01-01,2021-04-01,3,4,0.0,0.0,1.0,2000000.0,,0.0,2000000.0,666666.6666666666,0.0,0.6666666666666666,1.0,0.6465356460155698,0.7626404625364472,76.26404625364472,True
GHA001,Ghana,GHA,2.4,2.6,2025-08-01,2025-12-01,4,5,-0.050000000000000044,0.10954451150103332,0.9012707373471323,0.0,,0.0,0.0,0.0,0.0,0.25,0.6972864480733465,0.4905166291544329,0.43228926025289055,43.228926025289056,False
